sector,south_lat,north_lat,west_lon,east_lon,geojson
"sector 19, Gurugram, Haryana, India",28.4950144,28.5119073,77.0687536,77.0916743,"{'type': 'Polygon', 'coordinates': [[[77.0687536, 28.5036859], [77.0719207, 28.5014868], [77.0730631, 28.5009648], [77.0753648, 28.5006701], [77.0765737, 28.5005817], [77.079202, 28.5008834], [77.0856701, 28.4958522], [77.0862237, 28.4950144], [77.0864238, 28.4952403], [77.0880312, 28.4969849], [77.0893749, 28.4984433], [77.0916743, 28.5009315], [77.0911395, 28.5012251], [77.083368, 28.506939], [77.07916, 28.5100327], [77.0774536, 28.5112873], [77.0764205, 28.511393], [77.0763485, 28.5114004], [77.0761245, 28.5114603], [77.0746225, 28.5119073], [77.074278, 28.5111214], [77.0740678, 28.5104203], [77.0714703, 28.5067703], [77.0687536, 28.5036859]]]}"
"sector 20, Gurugram, Haryana, India",28.5009315,28.5180224,77.0746225,77.0954820,"{'type': 'Polygon', 'coordinates': [[[77.0746225, 28.5119073], [77.0761245, 28.5114603], [77.0763485, 28.5114004], [77.0764205, 28.511393], [77.0774536, 28.5112873], [77.07916, 28.5100327], [77.083368, 28.506939], [77.0911395, 28.5012251], [77.0916743, 28.5009315], [77.0919011, 28.5010754], [77.0930223, 28.5020237], [77.0930397, 28.502044], [77.0951239, 28.5051167], [77.095482, 28.5069595], [77.0932423, 28.5109928], [77.092899, 28.5121524], [77.0925943, 28.5142311], [77.0859574, 28.5161025], [77.0846262, 28.5164992], [77.0840906, 28.5166587], [77.0830606, 28.5169698], [77.0827494, 28.5170898], [77.0804111, 28.5180224], [77.0800435, 28.5175646], [77.0795515, 28.5169518], [77.0787666, 28.5162284], [77.0781524, 28.5157087], [77.0769495, 28.5145122], [77.0749677, 28.5125409], [77.0746225, 28.5119073]]]}"
"sector 21, Gurugram, Haryana, India",28.5067703,28.5202589,77.0664100,77.0804111,"{'type': 'Polygon', 'coordinates': [[[77.06641, 28.5114759], [77.0691332, 28.5086919], [77.0714703, 28.5067703], [77.0740678, 28.5104203], [77.074278, 28.5111214], [77.0746225, 28.5119073], [77.0749677, 28.5125409], [77.0769495, 28.5145122], [77.0781524, 28.5157087], [77.0787666, 28.5162284], [77.0795515, 28.5169518], [77.0800435, 28.5175646], [77.0804111, 28.5180224], [77.079283, 28.5181781], [77.0791964, 28.5181891], [77.0774387, 28.5184405], [77.075014, 28.5187138], [77.0747744, 28.5188088], [77.0744668, 28.5189307], [77.073365, 28.5195071], [77.0723002, 28.5202589], [77.0722213, 28.5201457], [77.0720942, 28.5193619], [77.0713662, 28.5175938], [77.0709886, 28.5170499], [77.0688651, 28.5145822], [77.067616, 28.5129745], [77.0671624, 28.5119289], [77.06641, 28.5114759]]]}"
"sector 22, Gurugram, Haryana, India",28.4970534,28.5114759,77.0575714,77.0714703,"{'type': 'Polygon', 'coordinates': [[[77.0575714, 28.5025964], [77.0633194, 28.4970534], [77.0679263, 28.5026653], [77.0680704, 28.5028326], [77.0687536, 28.5036859], [77.0714703, 28.5067703], [77.0691332, 28.5086919], [77.06641, 28.5114759], [77.0627451, 28.509366], [77.06241, 28.5090521], [77.0617448, 28.508345], [77.0575714, 28.5025964]]]}"
"sector 23, Gurugram, Haryana, India",28.5025964,28.5166427,77.0417925,77.0671624,"{'type': 'Polygon', 'coordinates': [[[77.0417925, 28.5101533], [77.0450581, 28.5090148], [77.0508529, 28.5069954], [77.0532711, 28.5054636], [77.05373, 28.5051731], [77.0556084, 28.5039841], [77.0565635, 28.5033785], [77.0575714, 28.5025964], [77.0617448, 28.508345], [77.06241, 28.5090521], [77.0627451, 28.509366], [77.06641, 28.5114759], [77.0671624, 28.5119289], [77.0653494, 28.5125045], [77.0645251, 28.5126891], [77.0633996, 28.5126665], [77.0612165, 28.512224], [77.0606606, 28.5122555], [77.0577011, 28.5127924], [77.0575428, 28.5128211], [77.0543531, 28.5143512], [77.0491721, 28.5160453], [77.0462065, 28.5166427], [77.0449278, 28.5139512], [77.0447952, 28.5136812], [77.0433931, 28.5120836], [77.0422628, 28.5107696], [77.0417925, 28.5101533]]]}"
"sector 24, Gurugram, Haryana, India",28.4815648,28.5070803,77.0909397,77.1195070,"{'type': 'Polygon', 'coordinates': [[[77.0909397, 28.4885405], [77.0918386, 28.488012], [77.0925233, 28.4876094], [77.0933972, 28.4872698], [77.0943652, 28.4866963], [77.0947991, 28.4863301], [77.09517, 28.4856695], [77.0951416, 28.4850694], [77.0973411, 28.483764], [77.0984918, 28.4829639], [77.0991756, 28.4825278], [77.0995605, 28.4822317], [77.1003934, 28.4818535], [77.1046912, 28.4819958], [77.1074592, 28.4823919], [77.1080804, 28.4823382], [77.109443, 28.4819138], [77.1143393, 28.4817321], [77.1150614, 28.4815648], [77.1167211, 28.4850054], [77.1176759, 28.4869846], [77.119507, 28.495139], [77.1124785, 28.4984532], [77.1101397, 28.4993961], [77.1053975, 28.5013384], [77.1037667, 28.5024887], [77.1023081, 28.5031016], [77.1000336, 28.5038653], [77.0976518, 28.5048552], [77.0957528, 28.5070803], [77.095482, 28.5069595], [77.0951239, 28.5051167], [77.0930397, 28.502044], [77.0930223, 28.5020237], [77.0967118, 28.4996859], [77.0971152, 28.4988118], [77.0954718, 28.4962687], [77.0911929, 28.4896466], [77.0909397, 28.4885405]]]}"
"sector 25, Gurugram, Haryana, India",28.4774587,28.4950144,77.0684495,77.0951700,"{'type': 'Polygon', 'coordinates': [[[77.0684495, 28.4774587], [77.0715635, 28.478064], [77.0783113, 28.4789987], [77.0797363, 28.4791961], [77.0817193, 28.4794708], [77.0874271, 28.4803435], [77.0891544, 28.4802629], [77.0934352, 28.48114], [77.094632, 28.4814775], [77.094807, 28.4827111], [77.0951416, 28.4850694], [77.09517, 28.4856695], [77.0947991, 28.4863301], [77.0943652, 28.4866963], [77.0933972, 28.4872698], [77.0925233, 28.4876094], [77.0918386, 28.488012], [77.0909397, 28.4885405], [77.0903827, 28.4888731], [77.0898571, 28.4892103], [77.0890042, 28.4897688], [77.0881996, 28.4910889], [77.0879743, 28.4918244], [77.0876846, 28.4927202], [77.0865356, 28.4943884], [77.0862237, 28.4950144], [77.0711389, 28.4797906], [77.07042, 28.47911], [77.0684495, 28.4774587]]]}"
"sector 26, Gurugram, Haryana, India",28.4679478,28.4850694,77.0937546,77.1106768,"{'type': 'Polygon', 'coordinates': [[[77.0937546, 28.478914], [77.0939123, 28.4788697], [77.0966183, 28.4773679], [77.0985271, 28.4760027], [77.0988451, 28.4757718], [77.1015129, 28.473832], [77.101991, 28.4734047], [77.1042807, 28.4707979], [77.1067522, 28.4689558], [77.1079869, 28.4679478], [77.1082521, 28.4685031], [77.109046, 28.4692859], [77.1090138, 28.4704082], [77.1091437, 28.4714239], [77.1096576, 28.4722284], [77.1102691, 28.473247], [77.1105695, 28.4738694], [77.1106768, 28.4743976], [77.1105803, 28.4748691], [77.1096468, 28.4789998], [77.1097005, 28.4797825], [77.1098185, 28.4804144], [77.1099687, 28.4813763], [77.109443, 28.4819138], [77.1080804, 28.4823382], [77.1074592, 28.4823919], [77.1046912, 28.4819958], [77.1003934, 28.4818535], [77.0995605, 28.4822317], [77.0991756, 28.4825278], [77.0984918, 28.4829639], [77.0973411, 28.483764], [77.0951416, 28.4850694], [77.094807, 28.4827111], [77.094632, 28.4814775], [77.0943153, 28.4797448], [77.0937546, 28.478914]]]}"
"sector 27, Gurugram, Haryana, India",28.4446566,28.4846566,77.0639505,77.1039505,"{'type': 'Point', 'coordinates': [77.0839505, 28.4646566]}"
"sector 28, Gurugram, Haryana, India",28.4679062,28.4814775,77.0715635,77.0946320,"{'type': 'Polygon', 'coordinates': [[[77.0715635, 28.478064], [77.0723018, 28.4740158], [77.072404, 28.4734557], [77.0725126, 28.4728602], [77.0727393, 28.4716173], [77.0731216, 28.4695211], [77.07311, 28.4679062], [77.0741716, 28.4679182], [77.0796633, 28.4679529], [77.086146, 28.4680042], [77.0881372, 28.4680038], [77.0917781, 28.4679831], [77.0943485, 28.4679685], [77.0940191, 28.4699817], [77.0940064, 28.4703349], [77.0939645, 28.4713108], [77.0939151, 28.4719411], [77.0938061, 28.4779298], [77.0937546, 28.478914], [77.0943153, 28.4797448], [77.094632, 28.4814775], [77.0934352, 28.48114], [77.0891544, 28.4802629], [77.0874271, 28.4803435], [77.0817193, 28.4794708], [77.0797363, 28.4791961], [77.0783113, 28.4789987], [77.0715635, 28.478064]]]}"
